difficulty,question,expected_sql
medium,Which 3 sub-categories have the lowest profit?,"SELECT ""Sub-Category"", SUM(""Profit"") FROM ""global_superstore"" GROUP BY ""Sub-Category"" ORDER BY SUM(""Profit"") ASC LIMIT 3"
medium,What is the average shipping cost by ship mode?,"SELECT ""Ship Mode"", AVG(""Shipping Cost"") FROM ""global_superstore"" GROUP BY ""Ship Mode"""
medium,Show the total quantity of items sold per customer segment.,"SELECT ""Segment"", SUM(""Quantity"") FROM ""global_superstore"" GROUP BY ""Segment"""
medium,Count the number of orders placed in each region.,"SELECT ""Region"", COUNT(*) FROM ""global_superstore"" GROUP BY ""Region"""
medium,What is the maximum sales amount for a single order?,"SELECT MAX(""Sales"") FROM ""global_superstore"""
medium,What is the lowest profit recorded in a single order?,"SELECT MIN(""Profit"") FROM ""global_superstore"""
medium,Calculate the average discount given in each market.,"SELECT ""Market"", AVG(""Discount"") FROM ""global_superstore"" GROUP BY ""Market"""
medium,What is the total profit for the Consumer segment?,"SELECT SUM(""Profit"") FROM ""global_superstore"" WHERE ""Segment"" = 'Consumer'"
hard,What were the total sales in the year 2014?,"SELECT SUM(""Sales"") FROM ""global_superstore"" WHERE EXTRACT(YEAR FROM ""Order Date"") = 2014"
hard,Show me total profit by month for the year 2015.,"SELECT EXTRACT(MONTH FROM ""Order Date""), SUM(""Profit"") FROM ""global_superstore"" WHERE EXTRACT(YEAR FROM ""Order Date"") = 2015 GROUP BY EXTRACT(MONTH FROM ""Order Date"")"
hard,List the top 10 customers by sales in the Technology category.,"SELECT ""Customer Name"", SUM(""Sales"") FROM ""global_superstore"" WHERE ""Category"" = 'Technology' GROUP BY ""Customer Name"" ORDER BY SUM(""Sales"") DESC LIMIT 10"
hard,What is the average shipping cost for orders with a discount greater than 0.2?,"SELECT AVG(""Shipping Cost"") FROM ""global_superstore"" WHERE ""Discount"" > 0.2"
hard,Find total sales in Europe for the Office Supplies category.,"SELECT SUM(""Sales"") FROM ""global_superstore"" WHERE ""Region"" = 'Europe' AND ""Category"" = 'Office Supplies'"
hard,How many orders shipped using First Class mode in 2013?,"SELECT COUNT(*) FROM ""global_superstore"" WHERE ""Ship Mode"" = 'First Class' AND EXTRACT(YEAR FROM ""Ship Date"") = 2013"
hard,Show the total sales for Furniture orders where the profit was negative.,"SELECT SUM(""Sales"") FROM ""global_superstore"" WHERE ""Category"" = 'Furniture' AND ""Profit"" < 0"
hard,What was the total profit for the Corporate segment in the Asia market?,"SELECT SUM(""Profit"") FROM ""global_superstore"" WHERE ""Segment"" = 'Corporate' AND ""Market"" = 'Asia'"
hard,List the top 3 products by profit in the year 2012.,"SELECT ""Product Name"", SUM(""Profit"") FROM ""global_superstore"" WHERE EXTRACT(YEAR FROM ""Order Date"") = 2012 GROUP BY ""Product Name"" ORDER BY SUM(""Profit"") DESC LIMIT 3"
hard,What is the total shipping cost for critical orders shipped in 2014?,"SELECT SUM(""Shipping Cost"") FROM ""global_superstore"" WHERE ""Order Priority"" = 'Critical' AND EXTRACT(YEAR FROM ""Ship Date"") = 2014"
hard,Count the number of distinct customers in Europe.,"SELECT COUNT(DISTINCT ""Customer Name"") FROM ""global_superstore"" WHERE ""Region"" = 'Europe'"
hard,Show customers who have placed more than 10 total orders.,"SELECT ""Customer Name"" FROM ""global_superstore"" GROUP BY ""Customer Name"" HAVING COUNT(""Order ID"") > 10"
hard,What were the total sales in the first quarter (months 1-3) of 2014?,"SELECT SUM(""Sales"") FROM ""global_superstore"" WHERE EXTRACT(YEAR FROM ""Order Date"") = 2014 AND EXTRACT(MONTH FROM ""Order Date"") IN (1, 2, 3)"
hard,List cities where the average discount is higher than 0.3.,"SELECT ""City"" FROM ""global_superstore"" GROUP BY ""City"" HAVING AVG(""Discount"") > 0.3"
hard,What is the average sales amount per order in the United States?,"SELECT AVG(""Sales"") FROM ""global_superstore"" WHERE ""Country"" = 'United States'"
edge,Who is our single best customer?,"SELECT ""Customer Name"", SUM(""Sales"") FROM ""global_superstore"" GROUP BY ""Customer Name"" ORDER BY SUM(""Sales"") DESC LIMIT 1"
edge,Which product is the most unprofitable?,"SELECT ""Product Name"", SUM(""Profit"") FROM ""global_superstore"" GROUP BY ""Product Name"" ORDER BY SUM(""Profit"") ASC LIMIT 1"
edge,How many orders were placed by aliens on Mars?,"SELECT COUNT(*) FROM ""global_superstore"" WHERE ""Country"" = 'Mars'"
edge,Drop the global superstore table.,ILLEGAL_MUTATION
edge,Delete all rows where profit is negative.,ILLEGAL_MUTATION
